account_id,account_name,industry,account_owner,account_code,tax_id,region_code,created_ts,source_system
EACC5781,Tiwari Technologies,Financial Services,Alok Malhotra,AC781,TAX781,West,2025-10-15 00:00:00,ERP
EACC5370,Malhotra Consulting,Financial Services,Vinay Singh,AC370,TAX370,West,2024-06-13 00:00:00,ERP
EACC5071,Joshi Consulting,Financial Services,Sachin Nair,AC071,TAX071,Central,2024-01-29 00:00:00,ERP
EACC5404,Iyer Foods,Technology,Seema Menon,AC404,TAX404,South,2024-01-31 00:00:00,ERP
EACC5292,Pandey Consulting,Healthcare,Meera Kaur,AC292,TAX292,East,2024-11-15 00:00:00,ERP
EACC5919,Shah Services,Manufacturing,Rohit Singh,AC919,TAX919,North,2026-02-15 00:00:00,ERP
EACC5744,Yadav Solutions,Technology,Vinod Patil,AC744,TAX744,South,2025-03-02 00:00:00,ERP
EACC5028,Dubey Enterprises,Manufacturing,Vikas Singh,AC028,TAX028,North,2025-04-27 00:00:00,ERP
EACC5104,Bajaj Services,Manufacturing,Rekha Kumar,AC104,TAX104,West,2024-08-30 00:00:00,ERP
EACC5691,Mishra Traders,Transportation,Sanjay Dubey,AC691,TAX691,West,2024-01-17 00:00:00,ERP
EACC5931,Nair Logistics,Retail,Rekha Nair,AC931,TAX931,Central,2024-03-08 00:00:00,ERP
EACC5350,Patil Industries,Technology,Manish Patel,AC350,TAX350,Central,2025-01-08 00:00:00,ERP
EACC5406,Malhotra Textiles,Retail,Alok Desai,AC406,TAX406,West,2024-03-20 00:00:00,ERP
EACC5552,Shah Enterprises,Technology,Harish Yadav,AC552,TAX552,North,2025-04-22 00:00:00,ERP
EACC5579,Nair Logistics,Technology,Neha Kaur,AC579,TAX579,East,2024-02-13 00:00:00,ERP
EACC5020,Tiwari Retail,Transportation,Rahul Desai,AC020,TAX020,West,2025-10-15 00:00:00,ERP
EACC5345,Dubey Finance,Technology,Shalini Malhotra,AC345,TAX345,South,2024-08-06 00:00:00,ERP
EACC5410,Iyer Healthcare,Technology,Neha Tiwari,AC410,TAX410,West,2025-04-14 00:00:00,ERP
EACC5178,Nair Consulting,Retail,Karan Kumar,AC178,TAX178,East,2024-03-11 00:00:00,ERP
EACC5609,Patel Enterprises,Healthcare,Rajiv Gupta,AC609,TAX609,South,2024-02-26 00:00:00,ERP
EACC5202,Shah Enterprises,Healthcare,Priya Patel,AC202,TAX202,East,2025-04-06 00:00:00,ERP
EACC5933,Mishra Retail,Manufacturing,Harish Dubey,AC933,TAX933,Central,2025-03-02 00:00:00,ERP
EACC5164,Reddy Enterprises,Manufacturing,Sachin Dubey,AC164,TAX164,North,2024-10-17 00:00:00,ERP
EACC5187,Agarwal Textiles,Retail,Vinay Banerjee,AC187,TAX187,Central,2025-10-03 00:00:00,ERP
EACC5930,Kaur Logistics,Transportation,Lakshmi Pandey,AC930,TAX930,North,2024-12-08 00:00:00,ERP
EACC5059,Kapoor Healthcare,Retail,Ajay Gupta,AC059,TAX059,Central,2025-06-03 00:00:00,ERP
EACC5546,Kumar Solutions,Technology,Harish Srivastava,AC546,TAX546,East,2024-11-05 00:00:00,ERP
EACC5469,Tiwari Consulting,Technology,Ajay Malhotra,AC469,TAX469,East,2024-11-08 00:00:00,ERP
EACC5706,Singh Traders,Technology,Deepak Shah,AC706,TAX706,West,2025-04-30 00:00:00,ERP
EACC5058,Desai Foods,Retail,Rahul Singh,AC058,TAX058,Central,2024-04-06 00:00:00,ERP
EACC5118,Reddy Retail,Manufacturing,Sunil Agarwal,AC118,TAX118,South,2024-07-18 00:00:00,ERP
EACC5218,Menon Logistics,Transportation,Seema Menon,AC218,TAX218,West,2025-09-11 00:00:00,ERP
EACC5450,Kapoor Consulting,Technology,Manish Rao,AC450,TAX450,North,2024-01-05 00:00:00,ERP
EACC5632,Singh Logistics,Manufacturing,Sneha Dubey,AC632,TAX632,West,2025-12-12 00:00:00,ERP
EACC5642,Desai Industries,Financial Services,Anita Mehta,AC642,TAX642,North,2025-11-28 00:00:00,ERP
EACC5396,Pandey Consulting,Financial Services,Anjali Kaur,AC396,TAX396,East,2024-05-30 00:00:00,ERP
EACC5934,Rao Finance,Transportation,Sunita Joshi,AC934,TAX934,East,2024-08-12 00:00:00,ERP
EACC5907,Bajaj Consulting,Healthcare,Pooja Kaur,AC907,TAX907,North,2025-01-16 00:00:00,ERP
EACC5330,Patil Foods,Manufacturing,John Malhotra,AC330,TAX330,Central,2024-09-21 00:00:00,ERP
EACC5526,Agarwal Solutions,Transportation,Anjali Nair,AC526,TAX526,South,2024-01-23 00:00:00,ERP
EACC5423,Menon Pharmaceuticals,Healthcare,Seema Sharma,AC423,TAX423,North,2025-06-01 00:00:00,ERP
EACC5924,Joshi Traders,Financial Services,Ajay Iyer,AC924,TAX924,West,2024-11-01 00:00:00,ERP
EACC5486,Nair Finance,Transportation,Vinay Gupta,AC486,TAX486,North,2025-12-02 00:00:00,ERP
EACC5347,Nair Foods,Healthcare,Vinay Yadav,AC347,TAX347,West,2025-07-18 00:00:00,ERP
EACC5096,Desai Traders,Technology,Manish Singh,AC096,TAX096,North,2025-09-15 00:00:00,ERP
EACC5816,Tiwari Industries,Retail,Arvind Sharma,AC816,TAX816,West,2025-09-08 00:00:00,ERP
EACC5935,Dubey Foods,Healthcare,Harish Nair,AC935,TAX935,East,2024-06-12 00:00:00,ERP
EACC5259,Tiwari Consulting,Healthcare,Priya Nair,AC259,TAX259,South,2024-08-28 00:00:00,ERP
EACC5319,Desai Industries,Technology,Sachin Shah,AC319,TAX319,East,2024-11-14 00:00:00,ERP
EACC5383,Mishra Textiles,Healthcare,Rajiv Kapoor,AC383,TAX383,South,2024-05-27 00:00:00,ERP
EACC5491,Dubey Healthcare,Transportation,Meena Iyer,AC491,TAX491,North,2024-01-13 00:00:00,ERP
EACC5504,Iyer Retail,Transportation,Ravi Yadav,AC504,TAX504,Central,2024-09-18 00:00:00,ERP
EACC5241,Banerjee Consulting,Financial Services,Lakshmi Chopra,AC241,TAX241,West,2024-05-09 00:00:00,ERP
EACC5813,Agarwal Logistics,Retail,Sanjay Banerjee,AC813,TAX813,South,2025-08-30 00:00:00,ERP
EACC5225,Banerjee Consulting,Manufacturing,Alok Guptha,AC225,TAX225,West,2024-04-23 00:00:00,ERP
EACC5010,Reddy Technologies,Healthcare,Shalini Patel,AC010,TAX010,Central,2024-12-13 00:00:00,ERP
EACC5777,Yadav Finance,Technology,Rohit Joshi,AC777,TAX777,South,2025-06-08 00:00:00,ERP
EACC5878,Verma Finance,Manufacturing,Amit Rao,AC878,TAX878,Central,2024-06-17 00:00:00,ERP
EACC5599,Reddy Enterprises,Technology,Pooja Patel,AC599,TAX599,Central,2024-03-27 00:00:00,ERP
EACC5717,Banerjee Foods,Technology,Rajiv Kumar,AC717,TAX717,South,2026-02-18 00:00:00,ERP
EACC5870,Chopra Healthcare,Transportation,Rekha Rao,AC870,TAX870,West,2025-04-08 00:00:00,ERP
EACC5427,Desai Traders,Manufacturing,Vinod Shah,AC427,TAX427,East,2026-03-06 00:00:00,ERP
EACC5844,Chopra Technologies,Technology,Rohit Kapoor,AC844,TAX844,South,2025-10-16 00:00:00,ERP
EACC5634,Sharma Textiles,Technology,Priya Verma,AC634,TAX634,East,2024-02-07 00:00:00,ERP
EACC5806,Joshi Textiles,Financial Services,Ravi Tiwari,AC806,TAX806,Central,2025-08-30 00:00:00,ERP
EACC5277,Kapoor Foods,Retail,Sunil Reddy,AC277,TAX277,North,2024-06-01 00:00:00,ERP
EACC5944,Banerjee Consulting,Manufacturing,Vikas Menon,AC944,TAX944,West,2026-01-18 00:00:00,ERP
EACC5684,Mishra Retail,Manufacturing,Sneha Menon,AC684,TAX684,Central,2025-09-01 00:00:00,ERP
EACC5438,Kaur Industries,Technology,Anita Mishra,AC438,TAX438,East,2026-02-09 00:00:00,ERP
EACC5530,Reddy Textiles,Retail,Divya Mishra,AC530,TAX530,South,2025-05-29 00:00:00,ERP
EACC5812,Tiwari Logistics,Healthcare,Deepak Kapoor,AC812,TAX812,East,2024-03-13 00:00:00,ERP
EACC5489,Gupta Healthcare,Transportation,Rajiv Tiwari,AC489,TAX489,South,2024-07-23 00:00:00,ERP
EACC5745,Iyer Traders,Technology,Manish Joshi,AC745,TAX745,South,2025-08-27 00:00:00,ERP
EACC5134,Shah Retail,Financial Services,Vinay Rao,AC134,TAX134,Central,2024-12-14 00:00:00,ERP
EACC5217,Tiwari Logistics,Technology,Ajay Kumar,AC217,TAX217,West,2025-07-10 00:00:00,ERP
EACC5242,Nair Technologies,Manufacturing,Ramesh Kapoor,AC242,TAX242,Central,2025-06-22 00:00:00,ERP
EACC5288,Kapoor Industries,Manufacturing,Karan Mehta,AC288,TAX288,North,2026-01-10 00:00:00,ERP
EACC5220,Tiwari Technologies,Manufacturing,Ravi Yadav,AC220,TAX220,West,2024-08-09 00:00:00,ERP
EACC5254,Shah Technologies,Manufacturing,Ramesh Menon,AC254,TAX254,Central,2025-06-15 00:00:00,ERP
EACC5339,Patel Consulting,Financial Services,Pooja Malhotra,AC339,TAX339,West,2024-09-14 00:00:00,ERP
EACC5922,Rao Consulting,Technology,Karan Nair,AC922,TAX922,South,2024-09-06 00:00:00,ERP
EACC5775,Gupta Services,Transportation,Sunil Pandey,AC775,TAX775,North,2026-01-17 00:00:00,ERP
EACC5066,Joshi Solutions,Healthcare,Vinod Kapoor,AC066,TAX066,West,2024-09-18 00:00:00,ERP
EACC5312,Pandey Industries,Manufacturing,Neha Mishra,AC312,TAX312,North,2025-11-17 00:00:00,ERP
EACC5358,Menon Logistics,Technology,Arvind Pandey,AC358,TAX358,North,2024-05-30 00:00:00,ERP
EACC5949,Menon Healthcare,Manufacturing,Deepak Kumar,AC949,TAX949,West,2024-08-01 00:00:00,ERP
EACC5767,Verma Pharmaceuticals,Transportation,Sachin Desai,AC767,TAX767,East,2024-01-06 00:00:00,ERP
EACC5261,Tiwari Enterprises,Transportation,Anita Singh,AC261,TAX261,Central,2024-02-15 00:00:00,ERP
EACC5079,Pandey Retail,Financial Services,Arjun Malhotra,AC079,TAX079,South,2025-09-25 00:00:00,ERP
EACC5848,Banerjee Healthcare,Technology,Anjali Kumar,AC848,TAX848,Central,2024-11-22 00:00:00,ERP
EACC5668,Sharma Pharmaceuticals,Financial Services,Anjali Mehta,AC668,TAX668,West,2024-01-07 00:00:00,ERP
EACC5479,Pandey Technologies,Financial Services,Ravi Pandey,AC479,TAX479,East,2025-03-16 00:00:00,ERP
EACC5286,Desai Healthcare,Manufacturing,Deepak Patel,AC286,TAX286,East,2025-03-12 00:00:00,ERP
EACC5619,Kaur Industries,Healthcare,Suresh Gupta,AC619,TAX619,South,2025-05-08 00:00:00,ERP
EACC5237,Rao Textiles,Manufacturing,Anita Sharma,AC237,TAX237,South,2024-04-18 00:00:00,ERP
EACC5188,Desai Traders,Financial Services,Rajiv Tiwari,AC188,TAX188,Central,2026-02-20 00:00:00,ERP
EACC5863,Tiwari Retail,Manufacturing,Sachin Nair,AC863,TAX863,East,2024-04-11 00:00:00,ERP
EACC5355,Chopra Services,Technology,Meena Patel,AC355,TAX355,Central,2024-05-20 00:00:00,ERP
EACC5284,Mishra Logistics,Retail,Rekha Yadav,AC284,TAX284,Central,2024-01-19 00:00:00,ERP
EACC5348,Kapoor Finance,Transportation,John Dubey,AC348,TAX348,West,2024-01-21 00:00:00,ERP
EACC5334,Agarwal Traders,Financial Services,Meena Menon,AC334,TAX334,Central,2025-11-23 00:00:00,ERP
EACC5153,Bajaj Services,Healthcare,Rohit Malhotra,AC153,TAX153,Central,2025-10-07 00:00:00,ERP
EACC5758,Guptha Foods,Financial Services,Arjun Kapoor,AC758,TAX758,Central,2024-10-04 00:00:00,ERP
EACC5104,Bajaj Services,Manufacturing,Rekha Kumar,AC104,TAX104,West,2024-08-30 00:00:00,ERP
EACC5683,Gupta Healthcare,Financial Services,Neha Bajaj,AC683,TAX683,North,2024-05-07 00:00:00,ERP
EACC5938,Singh Solutions,Financial Services,Sunita Mehta,AC938,TAX938,Central,2024-12-13 00:00:00,ERP
EACC5942,Kaur Logistics,Retail,Sneha Bajaj,AC942,TAX942,South,2025-11-06 00:00:00,ERP
EACC5845,Singh Solutions,Retail,Arjun Yadav,AC845,TAX845,East,2025-03-12 00:00:00,ERP
EACC5210,Sharma Industries,Transportation,Rekha Desai,AC210,TAX210,East,2026-03-23 00:00:00,ERP
EACC5763,Mehta Textiles,Manufacturing,Vikas Srivastava,AC763,TAX763,West,2025-02-14 00:00:00,ERP
EACC5321,Patil Textiles,Manufacturing,Anjali Rao,AC321,TAX321,East,2025-09-17 00:00:00,ERP
EACC5733,Menon Solutions,Healthcare,Prakash Verma,AC733,TAX733,West,2025-04-29 00:00:00,ERP
EACC5800,Guptha Solutions,Retail,Manish Menon,AC800,TAX800,Central,2025-01-20 00:00:00,ERP
EACC5470,Singh Solutions,Retail,Ramesh Dubey,AC470,TAX470,East,2024-03-23 00:00:00,ERP
EACC5453,Sharma Enterprises,Technology,Sachin Kumar,AC453,TAX453,East,2024-12-29 00:00:00,ERP
EACC5021,Kaur Services,Retail,Karan Agarwal,AC021,TAX021,Central,2024-12-01 00:00:00,ERP
EACC5243,Kapoor Finance,Manufacturing,Alok Joshi,AC243,TAX243,Central,2026-02-06 00:00:00,ERP
EACC5652,Patel Traders,Manufacturing,Lakshmi Shah,AC652,TAX652,North,2025-09-05 00:00:00,ERP
EACC5385,Chopra Textiles,Transportation,Ramesh Guptha,AC385,TAX385,West,2025-12-09 00:00:00,ERP
EACC5882,Mehta Textiles,Technology,Prakash Singh,AC882,TAX882,North,2025-08-04 00:00:00,ERP
EACC5324,Desai Technologies,Healthcare,Shreya Iyer,AC324,TAX324,South,2024-04-17 00:00:00,ERP
