account_id,account_name,industry,account_owner,created_ts,source_system
ACC2427,Verma Retail,Construction,Sunita Dubey,2026-03-19,CRM
ACC2115,Kumar Consulting,Transportation,Vijay Singh,2026-05-13,CRM
ACC2259,Singh Pharmaceuticals,Healthcare,Jane Bose,2026-06-08,CRM
ACC2940,Patel Retail,Construction,Sandeep Iyer,2026-05-21,CRM
ACC2944,Das Textiles,Healthcare,Neha Verma,2026-05-23,CRM
ACC2279,Kumar Finance,Healthcare,Pooja Sharma,2026-02-02,CRM
ACC2905,Pandey Industries,Manufacturing,Neha Patel,2026-04-24,CRM
ACC2540,Tiwari Group,Construction,Sanjay Bajaj,2026-06-10,CRM
ACC2836,Nair Foods,Technology,Anjali Shah,2026-01-26,CRM
ACC2595,Singh Enterprises,Healthcare,Priya Mishra,2026-01-22,CRM
ACC2190,Dubey Foods,Financial Services,Mala Tiwari,2026-04-23,CRM
ACC2646,Verma Logistics,Financial Services,Anil Nair,2026-04-28,CRM
ACC2928,Malhotra Foods,Manufacturing,Jane Menon,2026-05-26,CRM
ACC2014,Desai Healthcare,Transportation,Sachin Desai,2026-03-10,CRM
ACC2482,Iyer Enterprises,Manufacturing,Geeta Mehta,2026-02-24,CRM
ACC2440,Shah Logistics,Retail,Sandeep Reddy,2026-03-23,CRM
ACC2439,Menon Pharmaceuticals,Manufacturing,Sachin Kapoor,2026-02-22,CRM
ACC2437,Singh Consulting,Retail,Deepak Shukla,2026-06-25,CRM
ACC2590,Verma Textiles,Construction,Kavita Patel,2026-01-20,CRM
ACC2165,Menon Enterprises,Technology,Prakash Desai,2026-03-26,CRM
ACC2488,Mehta Group,Manufacturing,Sachin Menon,2026-05-03,CRM
ACC2151,Menon Logistics,Transportation,Dinesh Verma,2026-04-28,CRM
ACC2468,Bose Healthcare,Healthcare,Anjali Dubey,2026-05-27,CRM
ACC2743,Shah Enterprises,Financial Services,Dinesh Patel,2026-01-24,CRM
ACC2672,Mishra Textiles,Healthcare,Arjun Yadav,2026-03-12,CRM
ACC2518,Agrawal Textiles,Manufacturing,Suresh Shah,2026-05-25,CRM
ACC2059,Krishnan Technologies,Transportation,Sanjay Tiwari,2026-03-22,CRM
ACC2759,Kapoor Industries,Retail,Alok Verma,2026-02-05,CRM
ACC2653,Banerjee Traders,Construction,Sachin Shukla,2026-03-22,CRM
ACC2659,Iyer Healthcare,Technology,Priya Patel,2026-03-15,CRM
ACC2186,Bose Healthcare,Financial Services,Suresh Gupta,2026-06-10,CRM
ACC2606,Menon Finance,Manufacturing,Meera Kumar,2026-03-18,CRM
ACC2623,Patel Consulting,Financial Services,Nisha Krishnan,2026-06-29,CRM
ACC2715,Shah Finance,Healthcare,Usha Reddy,2026-03-21,CRM
ACC2021,Shah Healthcare,Transportation,Anjali Iyer,2026-05-24,CRM
ACC2449,Patel Finance,Manufacturing,Kavita Patel,2026-06-02,CRM
ACC2681,Chopra Services,Financial Services,Dinesh Iyer,2026-03-28,CRM
ACC2613,Kumar Textiles,Financial Services,Lakshmi Chopra,2026-03-16,CRM
ACC2375,Sharma Group,Healthcare,Geeta Reddy,2026-01-05,CRM
ACC2869,Chopra Services,Financial Services,Shalini Mehta,2026-03-08,CRM
ACC2591,Yadav Foods,Technology,Sandeep Reddy,2026-04-12,CRM
ACC2669,Desai Retail,Financial Services,Sunita Nair,2026-06-02,CRM
ACC2570,Shukla Technologies,Healthcare,Lakshmi Bose,2026-05-17,CRM
ACC2936,Bose Solutions,Manufacturing,Kavita Bose,2026-02-08,CRM
ACC2469,Sharma Pharmaceuticals,Financial Services,Ravi Joshi,2026-04-18,CRM
ACC2036,Gupta Consulting,Technology,Dinesh Dubey,2026-02-02,CRM
ACC2394,Desai Services,Retail,Arvind Banerjee,2026-01-13,CRM
ACC2238,Mishra Pharmaceuticals,Financial Services,Rahul Bajaj,2026-06-23,CRM
ACC2581,Verma Group,Technology,Anita Srivastava,2026-01-11,CRM
ACC2213,Das Healthcare,Technology,Rajesh Shah,2026-05-11,CRM
ACC2441,Shah Consulting,Financial Services,Kavita Das,2026-05-12,CRM
ACC2114,Yadav Services,Retail,Rahul Bajaj,2026-01-28,CRM
ACC2735,Das Industries,Manufacturing,Prakash Patel,2026-03-14,CRM
ACC2464,Mishra Group,Transportation,Sanjay Banerjee,2026-06-26,CRM
ACC2941,Dubey Healthcare,Healthcare,Sneha Das,2026-04-28,CRM
ACC2818,Shukla Group,Transportation,Anil Shukla,2026-03-09,CRM
ACC2668,Shah Consulting,Construction,Sachin Reddy,2026-02-22,CRM
ACC2880,Gupta Healthcare,Financial Services,Sandeep Mehta,2026-02-27,CRM
ACC2081,Dubey Logistics,Technology,Usha Patel,2026-05-22,CRM
ACC2462,Pandey Foods,Financial Services,Usha Shukla,2026-05-02,CRM
ACC2527,Agrawal Traders,Transportation,Usha Das,2026-02-27,CRM
ACC2777,Shukla Retail,Financial Services,Sunita Mishra,2026-05-30,CRM
ACC2159,Bajaj Foods,Transportation,Sandeep Iyer,2026-03-12,CRM
ACC2167,Tiwari Healthcare,Financial Services,Vikram Verma,2026-01-31,CRM
ACC2601,Krishnan Industries,Technology,John Desai,2026-06-03,CRM
ACC2393,Iyer Technologies,Retail,Usha Shukla,2026-06-15,CRM
ACC2624,Mehta Group,Healthcare,Usha Reddy,2026-01-28,CRM
ACC2609,Sharma Textiles,Financial Services,Arjun Banerjee,2026-06-08,CRM
ACC2421,Reddy Group,Healthcare,Rajesh Shah,2026-01-17,CRM
ACC2819,Krishnan Textiles,Construction,John Mehta,2026-04-05,CRM
ACC2740,Singh Retail,Financial Services,Nisha Sharma,2026-06-12,CRM
ACC2355,Banerjee Services,Retail,Anjali Gupta,2026-01-26,CRM
ACC2016,Das Finance,Transportation,Sachin Kapoor,2026-06-26,CRM
ACC2251,Joshi Traders,Retail,Nisha Kumar,2026-05-19,CRM
ACC2494,Banerjee Foods,Technology,Amit Sharma,2026-01-28,CRM
ACC2368,Agrawal Traders,Retail,Geeta Bajaj,2026-04-22,CRM
ACC2580,Srivastava Textiles,Transportation,John Shukla,2026-03-26,CRM
ACC2706,Patel Consulting,Retail,Priya Mehta,2026-03-03,CRM
ACC2816,Sharma Healthcare,Construction,Arvind Verma,2026-06-13,CRM
ACC2839,Shukla Foods,Technology,Sneha Mehta,2026-05-02,CRM
ACC2053,Krishnan Services,Healthcare,Sunita Mehta,2026-01-24,CRM
ACC2525,Bose Solutions,Retail,Sneha Gupta,2026-05-19,CRM
ACC2531,Mishra Solutions,Manufacturing,Ravi Patel,2026-06-07,CRM
ACC2924,Chopra Traders,Healthcare,Rohit Dubey,2026-04-13,CRM
ACC2481,Banerjee Enterprises,Healthcare,Priya Patel,2026-03-30,CRM
ACC2577,Bose Services,Retail,Vikram Banerjee,2026-01-21,CRM
ACC2880,Gupta Healthcare,Financial Services,Sandeep Mehta,2026-02-27,CRM
ACC2410,Iyer Healthcare,Healthcare,Pooja Mehta,2026-01-07,CRM
ACC2154,Dubey Enterprises,Technology,Suresh Menon,2026-03-10,CRM
ACC2034,Dubey Consulting,Financial Services,Rohit Bajaj,2026-03-03,CRM
ACC2200,Kumar Logistics,Manufacturing,Jane Srivastava,2026-06-27,CRM
ACC2791,Chopra Traders,Construction,Sandeep Banerjee,2026-04-22,CRM
ACC2654,Patel Services,Financial Services,Geeta Reddy,2026-01-03,CRM
ACC2170,Verma Services,Construction,Mala Banerjee,2026-03-17,CRM
ACC2903,Bajaj Solutions,Financial Services,Amit Das,2026-05-17,CRM
ACC2894,Bose Technologies,Transportation,Arvind Sharma,2026-03-05,CRM
ACC2388,Desai Retail,Financial Services,Arjun Patel,2026-06-14,CRM
ACC2805,Kapoor Industries,Retail,Vikram Kumar,2026-01-09,CRM
ACC2012,Banerjee Industries,Retail,Vikram Yadav,2026-03-01,CRM
ACC2612,Chopra Foods,Transportation,Arjun Banerjee,2026-02-21,CRM
ACC2500,Srivastava Solutions,Manufacturing,Manish Reddy,2026-04-20,CRM
ACC2947,Desai Services,Healthcare,Suresh Chopra,2026-02-27,CRM
ACC2364,Joshi Consulting,Technology,Sachin Dubey,2026-02-05,CRM
ACC2482,Iyer Enterprises,Manufacturing,Geeta Mehta,2026-02-24,CRM
ACC2166,Kapoor Finance,Financial Services,Kavita Pandey,2026-03-06,CRM
ACC2231,Kumar Enterprises,Financial Services,Jane Kapoor,2026-01-08,CRM
ACC2379,Verma Services,Manufacturing,Suresh Gupta,2026-06-02,CRM
ACC2583,Patel Group,Healthcare,Lakshmi Iyer,2026-06-25,CRM
ACC2324,Menon Services,Healthcare,Rohit Gupta,2026-03-04,CRM
ACC2409,Shah Retail,Financial Services,Meera Nair,2026-04-12,CRM
ACC2015,Mehta Traders,Technology,Meera Reddy,2026-03-04,CRM
ACC2841,Pandey Textiles,Healthcare,Mala Bose,2026-04-12,CRM
ACC2412,Iyer Enterprises,Manufacturing,Krishna Yadav,2026-02-24,CRM
ACC2343,Agrawal Retail,Technology,Geeta Kapoor,2026-02-10,CRM
ACC2168,Pandey Traders,Construction,Usha Yadav,2026-02-25,CRM
ACC2433,Dubey Group,Technology,Mala Chopra,2026-01-11,CRM
ACC2359,Kapoor Technologies,Manufacturing,Sachin Tiwari,2026-04-04,CRM
ACC2916,Nair Solutions,Manufacturing,Ravi Dubey,2026-02-08,CRM
ACC2920,Mishra Solutions,Financial Services,Priya Desai,2026-04-20,CRM
ACC2155,Singh Services,Healthcare,Pooja Srivastava,2026-03-13,CRM
ACC2798,Gupta Healthcare,Financial Services,Sandeep Tiwari,2026-03-23,CRM
ACC2120,Srivastava Pharmaceuticals,Manufacturing,Sachin Tiwari,2026-03-08,CRM
ACC2153,Mishra Group,Technology,Shalini Reddy,2026-05-04,CRM
ACC2333,Mehta Logistics,Construction,Pooja Srivastava,2026-04-23,CRM
ACC2871,Srivastava Consulting,Retail,Sunita Mishra,2026-06-03,CRM
ACC2629,Nair Healthcare,Manufacturing,Sanjay Pandey,2026-04-06,CRM
ACC2692,Bose Pharmaceuticals,Healthcare,Vikram Agrawal,2026-01-03,CRM
ACC2317,Das Retail,Transportation,Manish Shah,2026-02-28,CRM
ACC2542,Agrawal Logistics,Transportation,Sneha Mishra,2026-04-17,CRM
ACC2250,Shah Industries,Financial Services,Rohit Tiwari,2026-03-25,CRM
ACC2496,Shah Services,Technology,Dinesh Bajaj,2026-04-30,CRM
ACC2361,Singh Finance,Retail,Vikram Krishnan,2026-05-01,CRM
ACC2822,Shah Consulting,Transportation,Anita Patel,2026-06-20,CRM
ACC2125,Joshi Industries,Manufacturing,Anjali Pandey,2026-04-15,CRM
ACC2931,Shukla Industries,Manufacturing,Lakshmi Malhotra,2026-04-23,CRM
ACC2142,Kapoor Enterprises,Financial Services,Anita Joshi,2026-04-05,CRM
ACC2948,Krishnan Consulting,Technology,Suresh Chopra,2026-06-03,CRM
ACC2778,Verma Healthcare,Transportation,Vikram Kumar,2026-03-03,CRM
ACC2318,Dubey Solutions,Retail,Radha Krishnan,2026-04-01,CRM
ACC2793,Bose Foods,Retail,Kavita Singh,2026-02-14,CRM
ACC2138,Dubey Industries,Manufacturing,Nisha Iyer,2026-01-05,CRM
ACC2604,Kumar Solutions,Manufacturing,Anita Agrawal,2026-02-13,CRM
ACC2918,Singh Pharmaceuticals,Financial Services,Krishna Mehta,2026-03-09,CRM
ACC2452,Patel Textiles,Healthcare,Anil Desai,2026-05-26,CRM
ACC2030,Yadav Traders,Technology,Krishna Agrawal,2026-01-28,CRM
ACC2358,Das Traders,Construction,Arjun Reddy,2026-02-16,CRM
ACC2492,Bajaj Services,Construction,Manish Menon,2026-01-10,CRM
ACC2315,Yadav Traders,Retail,Deepak Joshi,2026-03-07,CRM
ACC2600,Agrawal Textiles,Healthcare,Rajesh Krishnan,2026-01-07,CRM
ACC2227,Gupta Services,Financial Services,Anil Mehta,2026-06-22,CRM
ACC2676,Kapoor Industries,Transportation,Nisha Das,2026-01-24,CRM
ACC2883,Srivastava Solutions,Technology,Lakshmi Patel,2026-05-29,CRM
