transaction_id,customer_id,account_id,transaction_type,amount,currency,opportunity_id,opportunity_stage,campaign_id,transaction_date,source_system
SFTXN5473,SF1473,SFACC1473,Invoice,45629,USD,OPP0473,Negotiation,CAMP003,2024-05-07 00:00:00,Salesforce
SFTXN5170,SF1170,SFACC1170,Invoice,23002,USD,OPP0170,Closed Lost,CAMP049,2024-04-18 00:00:00,Salesforce
SFTXN5332,SF1332,SFACC1332,Payment,6372,USD,OPP0332,Qualification,CAMP001,2024-01-06 00:00:00,Salesforce
SFTXN5266,SF1266,SFACC1266,Order,4871,USD,OPP0266,Closed Won,CAMP027,2024-01-23 00:00:00,Salesforce
SFTXN5839,SF1839,SFACC1839,Order,44424,USD,OPP0839,Prospecting,CAMP014,2025-08-24 00:00:00,Salesforce
SFTXN5650,SF1650,SFACC1650,Refund,2306,USD,OPP0650,Closed Lost,CAMP016,2025-02-10 00:00:00,Salesforce
SFTXN5455,SF1455,SFACC1455,Payment,33099,USD,OPP0455,Proposal,CAMP011,2024-01-01 00:00:00,Salesforce
SFTXN5481,SF1481,SFACC1481,Order,32861,USD,OPP0481,Closed Lost,CAMP021,2025-01-19 00:00:00,Salesforce
SFTXN5847,SF1847,SFACC1847,Payment,9642,USD,OPP0847,Closed Won,CAMP023,2025-11-23 00:00:00,Salesforce
SFTXN5784,SF1784,SFACC1784,Payment,16874,USD,OPP0784,Qualification,CAMP017,2024-10-25 00:00:00,Salesforce
SFTXN5067,SF1067,SFACC1067,Payment,1070,USD,OPP0067,Closed Lost,CAMP050,2025-06-17 00:00:00,Salesforce
SFTXN5927,SF1927,SFACC1927,Credit,42107,USD,OPP0927,Proposal,CAMP021,2025-10-27 00:00:00,Salesforce
SFTXN5772,SF1772,SFACC1772,Invoice,17798,USD,OPP0772,Qualification,CAMP029,2024-10-07 00:00:00,Salesforce
SFTXN5566,SF1566,SFACC1566,Invoice,28410,USD,OPP0566,Prospecting,CAMP031,2025-01-15 00:00:00,Salesforce
SFTXN5359,SF1359,SFACC1359,Credit,44298,USD,OPP0359,Closed Lost,CAMP022,2024-06-26 00:00:00,Salesforce
SFTXN5680,SF1680,SFACC1680,Refund,14825,USD,OPP0680,Qualification,CAMP034,2024-11-25 00:00:00,Salesforce
SFTXN5910,SF1910,SFACC1910,Refund,532,USD,OPP0910,Closed Won,CAMP008,2024-01-19 00:00:00,Salesforce
SFTXN5036,SF1036,SFACC1036,Invoice,47059,USD,OPP0036,Negotiation,CAMP025,2025-08-06 00:00:00,Salesforce
SFTXN5211,SF1211,SFACC1211,Payment,24252,USD,OPP0211,Prospecting,CAMP019,2024-12-23 00:00:00,Salesforce
SFTXN5510,SF1510,SFACC1510,Credit,14860,USD,OPP0510,Proposal,CAMP019,2024-09-21 00:00:00,Salesforce
SFTXN5631,SF1631,SFACC1631,Order,20135,USD,OPP0631,Proposal,CAMP011,2025-08-10 00:00:00,Salesforce
SFTXN5245,SF1245,SFACC1245,Order,7474,USD,OPP0245,Negotiation,CAMP030,2024-03-29 00:00:00,Salesforce
SFTXN5423,SF1423,SFACC1423,Invoice,10874,USD,OPP0423,Prospecting,CAMP035,2025-08-13 00:00:00,Salesforce
SFTXN5131,SF1131,SFACC1131,Refund,41317,USD,OPP0131,Proposal,CAMP047,2024-08-25 00:00:00,Salesforce
SFTXN5558,SF1558,SFACC1558,Invoice,8853,USD,OPP0558,Closed Won,CAMP032,2026-01-31 00:00:00,Salesforce
SFTXN5901,SF1901,SFACC1901,Payment,47897,USD,OPP0901,Closed Won,CAMP022,2025-11-08 00:00:00,Salesforce
SFTXN5751,SF1751,SFACC1751,Order,14743,USD,OPP0751,Qualification,CAMP023,2024-01-20 00:00:00,Salesforce
SFTXN5677,SF1677,SFACC1677,Refund,8772,USD,OPP0677,Proposal,CAMP002,2025-06-04 00:00:00,Salesforce
SFTXN5042,SF1042,SFACC1042,Payment,24322,USD,OPP0042,Prospecting,CAMP011,2025-01-19 00:00:00,Salesforce
SFTXN5322,SF1322,SFACC1322,Refund,11028,USD,OPP0322,Qualification,CAMP049,2024-08-07 00:00:00,Salesforce
SFTXN5948,SF1948,SFACC1948,Credit,7929,USD,OPP0948,Proposal,CAMP020,2024-05-19 00:00:00,Salesforce
SFTXN5348,SF1348,SFACC1348,Order,11433,USD,OPP0348,Prospecting,CAMP049,2025-01-14 00:00:00,Salesforce
SFTXN5415,SF1415,SFACC1415,Order,40195,USD,OPP0415,Proposal,CAMP019,2024-05-06 00:00:00,Salesforce
SFTXN5379,SF1379,SFACC1379,Payment,45981,USD,OPP0379,Closed Won,CAMP037,2025-08-07 00:00:00,Salesforce
SFTXN5575,SF1575,SFACC1575,Refund,28056,USD,OPP0575,Closed Lost,CAMP044,2025-11-06 00:00:00,Salesforce
SFTXN5665,SF1665,SFACC1665,Order,10271,USD,OPP0665,Proposal,CAMP041,2025-06-06 00:00:00,Salesforce
SFTXN5833,SF1833,SFACC1833,Invoice,46959,USD,OPP0833,Negotiation,CAMP050,2025-04-11 00:00:00,Salesforce
SFTXN5936,SF1936,SFACC1936,Invoice,13788,USD,OPP0936,Proposal,CAMP001,2025-09-25 00:00:00,Salesforce
SFTXN5164,SF1164,SFACC1164,Payment,48352,USD,OPP0164,Prospecting,CAMP028,2025-06-22 00:00:00,Salesforce
SFTXN5536,SF1536,SFACC1536,Order,2084,USD,OPP0536,Qualification,CAMP001,2024-02-23 00:00:00,Salesforce
SFTXN5600,SF1600,SFACC1600,Invoice,37830,USD,OPP0600,Negotiation,CAMP042,2026-01-28 00:00:00,Salesforce
SFTXN5397,SF1397,SFACC1397,Invoice,23668,USD,OPP0397,Negotiation,CAMP015,2025-05-01 00:00:00,Salesforce
SFTXN5004,SF1004,SFACC1004,Invoice,9397,USD,OPP0004,Qualification,CAMP014,2025-11-13 00:00:00,Salesforce
SFTXN5385,SF1385,SFACC1385,Credit,29270,USD,OPP0385,Closed Lost,CAMP027,2026-03-22 00:00:00,Salesforce
SFTXN5229,SF1229,SFACC1229,Invoice,1127,USD,OPP0229,Proposal,CAMP042,2024-05-14 00:00:00,Salesforce
SFTXN5889,SF1889,SFACC1889,Refund,32800,USD,OPP0889,Closed Won,CAMP033,2025-08-20 00:00:00,Salesforce
SFTXN5775,SF1775,SFACC1775,Order,30536,USD,OPP0775,Closed Lost,CAMP005,2024-07-15 00:00:00,Salesforce
SFTXN5851,SF1851,SFACC1851,Order,24063,USD,OPP0851,Closed Won,CAMP043,2024-07-23 00:00:00,Salesforce
SFTXN5190,SF1190,SFACC1190,Refund,23288,USD,OPP0190,Proposal,CAMP010,2024-06-07 00:00:00,Salesforce
SFTXN5073,SF1073,SFACC1073,Invoice,37817,USD,OPP0073,Prospecting,CAMP013,2024-08-03 00:00:00,Salesforce
SFTXN5501,SF1501,SFACC1501,Invoice,43398,USD,OPP0501,Closed Lost,CAMP034,2024-05-23 00:00:00,Salesforce
SFTXN5567,SF1567,SFACC1567,Order,24519,USD,OPP0567,Proposal,CAMP006,2025-06-19 00:00:00,Salesforce
SFTXN5180,SF1180,SFACC1180,Credit,4096,USD,OPP0180,Closed Won,CAMP032,2025-12-24 00:00:00,Salesforce
SFTXN5169,SF1169,SFACC1169,Payment,13846,USD,OPP0169,Proposal,CAMP048,2025-07-02 00:00:00,Salesforce
SFTXN5163,SF1163,SFACC1163,Refund,5849,USD,OPP0163,Negotiation,CAMP045,2025-03-25 00:00:00,Salesforce
SFTXN5552,SF1552,SFACC1552,Credit,32805,USD,OPP0552,Closed Won,CAMP019,2025-09-16 00:00:00,Salesforce
SFTXN5243,SF1243,SFACC1243,Payment,26185,USD,OPP0243,Qualification,CAMP019,2025-05-15 00:00:00,Salesforce
SFTXN5750,SF1750,SFACC1750,Payment,41960,USD,OPP0750,Negotiation,CAMP022,2026-03-28 00:00:00,Salesforce
SFTXN5909,SF1909,SFACC1909,Payment,26783,USD,OPP0909,Closed Lost,CAMP007,2024-05-03 00:00:00,Salesforce
SFTXN5873,SF1873,SFACC1873,Credit,7426,USD,OPP0873,Closed Lost,CAMP023,2025-11-05 00:00:00,Salesforce
SFTXN5325,SF1325,SFACC1325,Order,21296,USD,OPP0325,Qualification,CAMP019,2025-10-05 00:00:00,Salesforce
SFTXN5923,SF1923,SFACC1923,Invoice,10457,USD,OPP0923,Closed Won,CAMP045,2026-02-05 00:00:00,Salesforce
SFTXN5048,SF1048,SFACC1048,Refund,15498,USD,OPP0048,Prospecting,CAMP027,2024-12-30 00:00:00,Salesforce
SFTXN5613,SF1613,SFACC1613,Refund,36997,USD,OPP0613,Closed Won,CAMP011,2025-10-13 00:00:00,Salesforce
SFTXN5360,SF1360,SFACC1360,Invoice,19940,USD,OPP0360,Closed Won,CAMP040,2024-09-27 00:00:00,Salesforce
SFTXN5813,SF1813,SFACC1813,Order,10048,USD,OPP0813,Proposal,CAMP034,2024-09-01 00:00:00,Salesforce
SFTXN5411,SF1411,SFACC1411,Credit,3332,USD,OPP0411,Proposal,CAMP011,2025-06-23 00:00:00,Salesforce
SFTXN5535,SF1535,SFACC1535,Refund,49503,USD,OPP0535,Prospecting,CAMP002,2025-10-31 00:00:00,Salesforce
SFTXN5732,SF1732,SFACC1732,Credit,1709,USD,OPP0732,Prospecting,CAMP018,2025-12-27 00:00:00,Salesforce
SFTXN5941,SF1941,SFACC1941,Payment,17887,USD,OPP0941,Proposal,CAMP005,2025-11-04 00:00:00,Salesforce
