transaction_id,customer_id,account_id,transaction_type,amount,currency,document_number,company_code,plant_id,material_group,transaction_date,source_system
SAPTXN5152,SAP1152,SAPACC1152,Credit,14871,INR,DOC013,COMP008,PLANT08,MG08,2026-01-01,SAP
SAPTXN5304,SAP1304,SAPACC1304,Invoice,42778,INR,DOC012,COMP008,PLANT08,MG08,2026-03-27,SAP
SAPTXN5435,SAP1435,SAPACC1435,Credit,9931,INR,DOC005,COMP003,PLANT03,MG03,2026-02-26,SAP
SAPTXN5599,SAP1599,SAPACC1599,Payment,48713,INR,DOC016,COMP007,PLANT07,MG07,2026-02-01,SAP
SAPTXN5658,SAP1658,SAPACC1658,Payment,21019,INR,DOC018,COMP002,PLANT02,MG02,2026-03-27,SAP
SAPTXN5769,SAP1769,SAPACC1769,Payment,16093,INR,DOC008,COMP001,PLANT01,MG01,2026-03-08,SAP
SAPTXN5657,SAP1657,SAPACC1657,Refund,42569,INR,DOC008,COMP001,PLANT01,MG01,2026-02-23,SAP
SAPTXN5794,SAP1794,SAPACC1794,Order,1138,INR,DOC013,COMP002,PLANT02,MG02,2026-01-03,SAP
SAPTXN5186,SAP1186,SAPACC1186,Invoice,37744,INR,DOC009,COMP002,PLANT02,MG02,2026-03-26,SAP
SAPTXN5780,SAP1780,SAPACC1780,Invoice,39367,INR,DOC009,COMP004,PLANT04,MG04,2026-03-23,SAP
SAPTXN5745,SAP1745,SAPACC1745,Invoice,28591,INR,DOC011,COMP001,PLANT01,MG01,2026-02-10,SAP
SAPTXN5681,SAP1681,SAPACC1681,Credit,11453,INR,DOC008,COMP001,PLANT01,MG01,2026-03-10,SAP
SAPTXN5635,SAP1635,SAPACC1635,Refund,31609,INR,DOC020,COMP003,PLANT03,MG03,2026-02-02,SAP
SAPTXN5457,SAP1457,SAPACC1457,Refund,1851,INR,DOC001,COMP001,PLANT01,MG01,2026-02-08,SAP
SAPTXN5611,SAP1611,SAPACC1611,Order,15208,INR,DOC010,COMP003,PLANT03,MG03,2026-02-25,SAP
SAPTXN5766,SAP1766,SAPACC1766,Order,1159,INR,DOC011,COMP006,PLANT06,MG06,2026-03-09,SAP
SAPTXN5049,SAP1049,SAPACC1049,Refund,45222,INR,DOC020,COMP001,PLANT01,MG01,2026-03-30,SAP
SAPTXN5698,SAP1698,SAPACC1698,Order,18514,INR,DOC004,COMP002,PLANT02,MG02,2026-01-30,SAP
SAPTXN5219,SAP1219,SAPACC1219,Invoice,18467,INR,DOC016,COMP003,PLANT03,MG03,2026-02-13,SAP
SAPTXN5615,SAP1615,SAPACC1615,Refund,4201,INR,DOC006,COMP007,PLANT07,MG07,2026-02-25,SAP
SAPTXN5430,SAP1430,SAPACC1430,Credit,6129,INR,DOC016,COMP006,PLANT06,MG06,2026-01-13,SAP
SAPTXN5241,SAP1241,SAPACC1241,Invoice,4606,INR,DOC011,COMP001,PLANT01,MG01,2026-03-26,SAP
SAPTXN5539,SAP1539,SAPACC1539,Credit,22353,INR,DOC018,COMP003,PLANT03,MG03,2026-03-19,SAP
SAPTXN5420,SAP1420,SAPACC1420,Order,31312,INR,DOC005,COMP004,PLANT04,MG04,2026-03-07,SAP
SAPTXN5854,SAP1854,SAPACC1854,Order,5112,INR,DOC006,COMP006,PLANT06,MG06,2026-02-26,SAP
SAPTXN5398,SAP1398,SAPACC1398,Order,16123,INR,DOC008,COMP006,PLANT06,MG06,2026-03-13,SAP
SAPTXN5494,SAP1494,SAPACC1494,Invoice,19021,INR,DOC007,COMP006,PLANT06,MG06,2026-03-26,SAP
SAPTXN5573,SAP1573,SAPACC1573,Invoice,6964,INR,DOC007,COMP005,PLANT05,MG05,2026-03-22,SAP
SAPTXN5143,SAP1143,SAPACC1143,Invoice,22202,INR,DOC002,COMP007,PLANT07,MG07,2026-03-02,SAP
SAPTXN5274,SAP1274,SAPACC1274,Order,29983,INR,DOC016,COMP002,PLANT02,MG02,2026-03-31,SAP
SAPTXN5103,SAP1103,SAPACC1103,Refund,11677,INR,DOC013,COMP007,PLANT07,MG07,2026-02-15,SAP
SAPTXN5257,SAP1257,SAPACC1257,Credit,10704,INR,DOC019,COMP001,PLANT01,MG01,2026-01-26,SAP
SAPTXN5072,SAP1072,SAPACC1072,Invoice,25150,INR,DOC011,COMP008,PLANT08,MG08,2026-01-24,SAP
SAPTXN5640,SAP1640,SAPACC1640,Payment,28810,INR,DOC012,COMP008,PLANT08,MG08,2026-02-16,SAP
SAPTXN5449,SAP1449,SAPACC1449,Order,27841,INR,DOC017,COMP001,PLANT01,MG01,2026-02-18,SAP
SAPTXN5519,SAP1519,SAPACC1519,Refund,26133,INR,DOC006,COMP007,PLANT07,MG07,2026-01-22,SAP
SAPTXN5239,SAP1239,SAPACC1239,Order,1405,INR,DOC008,COMP007,PLANT07,MG07,2026-02-11,SAP
SAPTXN5559,SAP1559,SAPACC1559,Credit,9203,INR,DOC017,COMP007,PLANT07,MG07,2026-01-11,SAP
SAPTXN5675,SAP1675,SAPACC1675,Invoice,11162,INR,DOC006,COMP003,PLANT03,MG03,2026-02-08,SAP
SAPTXN5826,SAP1826,SAPACC1826,Credit,10386,INR,DOC005,COMP002,PLANT02,MG02,2026-01-22,SAP
SAPTXN5512,SAP1512,SAPACC1512,Refund,20190,INR,DOC006,COMP008,PLANT08,MG08,2026-01-01,SAP
SAPTXN5944,SAP1944,SAPACC1944,Invoice,45439,INR,DOC008,COMP008,PLANT08,MG08,2026-02-21,SAP
SAPTXN5689,SAP1689,SAPACC1689,Refund,5791,INR,DOC005,COMP001,PLANT01,MG01,2026-01-13,SAP
SAPTXN5714,SAP1714,SAPACC1714,Payment,13638,INR,DOC007,COMP002,PLANT02,MG02,2026-03-16,SAP
SAPTXN5367,SAP1367,SAPACC1367,Credit,7309,INR,DOC019,COMP007,PLANT07,MG07,2026-01-26,SAP
SAPTXN5390,SAP1390,SAPACC1390,Order,37238,INR,DOC003,COMP006,PLANT06,MG06,2026-01-06,SAP
SAPTXN5426,SAP1426,SAPACC1426,Order,41569,INR,DOC016,COMP002,PLANT02,MG02,2026-01-10,SAP
SAPTXN5036,SAP1036,SAPACC1036,Refund,19154,INR,DOC005,COMP004,PLANT04,MG04,2026-02-14,SAP
SAPTXN5560,SAP1560,SAPACC1560,Order,34107,INR,DOC018,COMP008,PLANT08,MG08,2026-03-23,SAP
SAPTXN5644,SAP1644,SAPACC1644,Order,3090,INR,DOC016,COMP004,PLANT04,MG04,2026-03-10,SAP
SAPTXN5875,SAP1875,SAPACC1875,Invoice,3582,INR,DOC020,COMP003,PLANT03,MG03,2026-03-19,SAP
SAPTXN5371,SAP1371,SAPACC1371,Credit,4158,INR,DOC009,COMP003,PLANT03,MG03,2026-02-02,SAP
SAPTXN5261,SAP1261,SAPACC1261,Payment,45291,INR,DOC001,COMP005,PLANT05,MG05,2026-03-29,SAP
SAPTXN5832,SAP1832,SAPACC1832,Refund,8277,INR,DOC018,COMP008,PLANT08,MG08,2026-01-16,SAP
SAPTXN5329,SAP1329,SAPACC1329,Credit,44031,INR,DOC012,COMP001,PLANT01,MG01,2026-01-20,SAP
SAPTXN5148,SAP1148,SAPACC1148,Payment,38600,INR,DOC007,COMP004,PLANT04,MG04,2026-01-11,SAP
SAPTXN5393,SAP1393,SAPACC1393,Order,38409,INR,DOC017,COMP001,PLANT01,MG01,2026-03-26,SAP
SAPTXN5489,SAP1489,SAPACC1489,Payment,17464,INR,DOC007,COMP001,PLANT01,MG01,2026-03-16,SAP
SAPTXN5541,SAP1541,SAPACC1541,Refund,29042,INR,DOC002,COMP005,PLANT05,MG05,2026-03-18,SAP
SAPTXN5863,SAP1863,SAPACC1863,Order,17339,INR,DOC012,COMP007,PLANT07,MG07,2026-01-10,SAP
SAPTXN5300,SAP1300,SAPACC1300,Refund,10294,INR,DOC017,COMP004,PLANT04,MG04,2026-03-18,SAP
SAPTXN5443,SAP1443,SAPACC1443,Order,29361,INR,DOC019,COMP003,PLANT03,MG03,2026-01-22,SAP
SAPTXN5450,SAP1450,SAPACC1450,Invoice,46733,INR,DOC015,COMP002,PLANT02,MG02,2026-03-24,SAP
SAPTXN5651,SAP1651,SAPACC1651,Payment,33886,INR,DOC020,COMP003,PLANT03,MG03,2026-01-08,SAP
SAPTXN5140,SAP1140,SAPACC1140,Refund,10681,INR,DOC006,COMP004,PLANT04,MG04,2026-01-30,SAP
SAPTXN5794,SAP1794,SAPACC1794,Order,1138,INR,DOC013,COMP002,PLANT02,MG02,2026-01-03,SAP
SAPTXN5141,SAP1141,SAPACC1141,Order,36009,INR,DOC017,COMP005,PLANT05,MG05,2026-02-19,SAP
SAPTXN5887,SAP1887,SAPACC1887,Credit,22901,INR,DOC005,COMP007,PLANT07,MG07,2026-03-24,SAP
SAPTXN5580,SAP1580,SAPACC1580,Invoice,14671,INR,DOC006,COMP004,PLANT04,MG04,2026-03-05,SAP
SAPTXN5322,SAP1322,SAPACC1322,Refund,16705,INR,DOC008,COMP002,PLANT02,MG02,2026-02-19,SAP
SAPTXN5950,SAP1950,SAPACC1950,Order,27698,INR,DOC019,COMP006,PLANT06,MG06,2026-02-14,SAP
SAPTXN5064,SAP1064,SAPACC1064,Refund,11117,INR,DOC007,COMP008,PLANT08,MG08,2026-02-06,SAP
SAPTXN5520,SAP1520,SAPACC1520,Credit,799,INR,DOC014,COMP008,PLANT08,MG08,2026-01-30,SAP
SAPTXN5210,SAP1210,SAPACC1210,Refund,46268,INR,DOC002,COMP002,PLANT02,MG02,2026-03-10,SAP
SAPTXN5407,SAP1407,SAPACC1407,Credit,25828,INR,DOC001,COMP007,PLANT07,MG07,2026-02-19,SAP
SAPTXN5652,SAP1652,SAPACC1652,Invoice,25553,INR,DOC005,COMP004,PLANT04,MG04,2026-01-14,SAP
SAPTXN5084,SAP1084,SAPACC1084,Credit,35439,INR,DOC002,COMP004,PLANT04,MG04,2026-01-30,SAP
SAPTXN5888,SAP1888,SAPACC1888,Payment,23799,INR,DOC006,COMP008,PLANT08,MG08,2026-01-10,SAP
SAPTXN5333,SAP1333,SAPACC1333,Refund,557,INR,DOC004,COMP005,PLANT05,MG05,2026-01-30,SAP
SAPTXN5535,SAP1535,SAPACC1535,Credit,23448,INR,DOC018,COMP007,PLANT07,MG07,2026-02-17,SAP
SAPTXN5309,SAP1309,SAPACC1309,Invoice,37813,INR,DOC012,COMP005,PLANT05,MG05,2026-01-11,SAP
SAPTXN5395,SAP1395,SAPACC1395,Invoice,6304,INR,DOC019,COMP003,PLANT03,MG03,2026-03-11,SAP
SAPTXN5504,SAP1504,SAPACC1504,Payment,19148,INR,DOC005,COMP008,PLANT08,MG08,2026-01-09,SAP
SAPTXN5590,SAP1590,SAPACC1590,Order,10832,INR,DOC020,COMP006,PLANT06,MG06,2026-02-09,SAP
SAPTXN5323,SAP1323,SAPACC1323,Order,39000,INR,DOC003,COMP003,PLANT03,MG03,2026-01-28,SAP
SAPTXN5160,SAP1160,SAPACC1160,Order,29354,INR,DOC014,COMP008,PLANT08,MG08,2026-03-02,SAP
SAPTXN5204,SAP1204,SAPACC1204,Credit,38007,INR,DOC006,COMP004,PLANT04,MG04,2026-02-07,SAP
SAPTXN5196,SAP1196,SAPACC1196,Credit,28310,INR,DOC014,COMP004,PLANT04,MG04,2026-03-11,SAP
SAPTXN5847,SAP1847,SAPACC1847,Payment,21487,INR,DOC015,COMP007,PLANT07,MG07,2026-01-15,SAP
SAPTXN5078,SAP1078,SAPACC1078,Refund,42955,INR,DOC015,COMP006,PLANT06,MG06,2026-03-21,SAP
SAPTXN5167,SAP1167,SAPACC1167,Invoice,45057,INR,DOC012,COMP007,PLANT07,MG07,2026-03-12,SAP
SAPTXN5549,SAP1549,SAPACC1549,Refund,29002,INR,DOC012,COMP005,PLANT05,MG05,2026-03-23,SAP
SAPTXN5755,SAP1755,SAPACC1755,Order,14540,INR,DOC007,COMP003,PLANT03,MG03,2026-02-25,SAP
SAPTXN5717,SAP1717,SAPACC1717,Order,45907,INR,DOC002,COMP005,PLANT05,MG05,2026-02-21,SAP
SAPTXN5481,SAP1481,SAPACC1481,Refund,45775,INR,DOC018,COMP001,PLANT01,MG01,2026-01-16,SAP
SAPTXN5653,SAP1653,SAPACC1653,Credit,5300,INR,DOC020,COMP005,PLANT05,MG05,2026-03-13,SAP
SAPTXN5838,SAP1838,SAPACC1838,Credit,48113,INR,DOC018,COMP006,PLANT06,MG06,2026-03-17,SAP
SAPTXN5768,SAP1768,SAPACC1768,Invoice,38650,INR,DOC002,COMP008,PLANT08,MG08,2026-03-01,SAP
SAPTXN5896,SAP1896,SAPACC1896,Invoice,45077,INR,DOC005,COMP008,PLANT08,MG08,2026-02-08,SAP
SAPTXN5369,SAP1369,SAPACC1369,Payment,7445,INR,DOC009,COMP001,PLANT01,MG01,2026-02-28,SAP
SAPTXN5439,SAP1439,SAPACC1439,Invoice,2757,INR,DOC008,COMP007,PLANT07,MG07,2026-03-20,SAP
SAPTXN5692,SAP1692,SAPACC1692,Refund,41675,INR,DOC013,COMP004,PLANT04,MG04,2026-03-23,SAP
SAPTXN5043,SAP1043,SAPACC1043,Invoice,20990,INR,DOC014,COMP003,PLANT03,MG03,2026-03-02,SAP
SAPTXN5554,SAP1554,SAPACC1554,Refund,7436,INR,DOC006,COMP002,PLANT02,MG02,2026-02-12,SAP
SAPTXN5680,SAP1680,SAPACC1680,Refund,16070,INR,DOC019,COMP008,PLANT08,MG08,2026-01-18,SAP
SAPTXN5330,SAP1330,SAPACC1330,Credit,30215,INR,DOC016,COMP002,PLANT02,MG02,2026-02-19,SAP
SAPTXN5166,SAP1166,SAPACC1166,Credit,15144,INR,DOC018,COMP006,PLANT06,MG06,2026-03-25,SAP
SAPTXN5616,SAP1616,SAPACC1616,Refund,26429,INR,DOC003,COMP008,PLANT08,MG08,2026-02-13,SAP
SAPTXN5268,SAP1268,SAPACC1268,Payment,27928,INR,DOC011,COMP004,PLANT04,MG04,2026-01-26,SAP
SAPTXN5612,SAP1612,SAPACC1612,Credit,44911,INR,DOC001,COMP004,PLANT04,MG04,2026-01-07,SAP
SAPTXN5008,SAP1008,SAPACC1008,Credit,35108,INR,DOC002,COMP008,PLANT08,MG08,2026-03-21,SAP
SAPTXN5123,SAP1123,SAPACC1123,Payment,36377,INR,DOC012,COMP003,PLANT03,MG03,2026-03-18,SAP
SAPTXN5589,SAP1589,SAPACC1589,Payment,43937,INR,DOC005,COMP005,PLANT05,MG05,2026-01-15,SAP
SAPTXN5699,SAP1699,SAPACC1699,Refund,40109,INR,DOC019,COMP003,PLANT03,MG03,2026-03-06,SAP
SAPTXN5076,SAP1076,SAPACC1076,Invoice,45092,INR,DOC002,COMP004,PLANT04,MG04,2026-02-20,SAP
SAPTXN5134,SAP1134,SAPACC1134,Invoice,40465,INR,DOC012,COMP006,PLANT06,MG06,2026-01-23,SAP
SAPTXN5286,SAP1286,SAPACC1286,Invoice,47189,INR,DOC001,COMP006,PLANT06,MG06,2026-03-06,SAP
SAPTXN5751,SAP1751,SAPACC1751,Order,46983,INR,DOC017,COMP007,PLANT07,MG07,2026-01-25,SAP
SAPTXN5834,SAP1834,SAPACC1834,Refund,6944,INR,DOC016,COMP002,PLANT02,MG02,2026-03-17,SAP
SAPTXN5058,SAP1058,SAPACC1058,Payment,8247,INR,DOC006,COMP002,PLANT02,MG02,2026-01-25,SAP
SAPTXN5643,SAP1643,SAPACC1643,Invoice,15474,INR,DOC004,COMP003,PLANT03,MG03,2026-01-25,SAP
