transaction_id,customer_id,account_id,transaction_type,amount,currency,transaction_date,source_system
TXN5522,CRM1522,ACC1522,Credit,35918,INR,2026-02-04 00:00:00,CRM
TXN5473,CRM1473,ACC1473,Invoice,13398,INR,2024-03-19 00:00:00,CRM
TXN5756,CRM1756,ACC1756,Payment,15247,INR,2024-01-22 00:00:00,CRM
TXN5846,CRM1846,ACC1846,Invoice,3215,INR,2026-03-06 00:00:00,CRM
TXN5627,CRM1627,ACC1627,Invoice,9413,INR,2024-10-12 00:00:00,CRM
TXN5938,CRM1938,ACC1938,Refund,8530,INR,2024-10-19 00:00:00,CRM
TXN5513,CRM1513,ACC1513,Credit,37717,INR,2025-08-16 00:00:00,CRM
TXN5864,CRM1864,ACC1864,Credit,18581,INR,2024-03-09 00:00:00,CRM
TXN5004,CRM1004,ACC1004,Invoice,9468,INR,2024-12-04 00:00:00,CRM
TXN5218,CRM1218,ACC1218,Order,30873,INR,2024-03-27 00:00:00,CRM
TXN5423,CRM1423,ACC1423,Order,28362,INR,2024-05-13 00:00:00,CRM
TXN5238,CRM1238,ACC1238,Invoice,5672,INR,2024-12-27 00:00:00,CRM
TXN5421,CRM1421,ACC1421,Payment,21401,INR,2024-08-14 00:00:00,CRM
TXN5809,CRM1809,ACC1809,Payment,22278,INR,2025-07-17 00:00:00,CRM
TXN5321,CRM1321,ACC1321,Invoice,12101,INR,2025-05-14 00:00:00,CRM
TXN5819,CRM1819,ACC1819,Invoice,4901,INR,2025-07-14 00:00:00,CRM
TXN5175,CRM1175,ACC1175,Invoice,28278,INR,2025-01-02 00:00:00,CRM
TXN5776,CRM1776,ACC1776,Credit,17098,INR,2024-09-05 00:00:00,CRM
TXN5467,CRM1467,ACC1467,Invoice,33494,INR,2024-11-28 00:00:00,CRM
TXN5913,CRM1913,ACC1913,Payment,31099,INR,2026-03-08 00:00:00,CRM
TXN5176,CRM1176,ACC1176,Credit,21906,INR,2025-07-06 00:00:00,CRM
TXN5860,CRM1860,ACC1860,Refund,40353,INR,2024-02-11 00:00:00,CRM
TXN5058,CRM1058,ACC1058,Invoice,12340,INR,2024-12-24 00:00:00,CRM
TXN5177,CRM1177,ACC1177,Payment,25886,INR,2024-11-10 00:00:00,CRM
TXN5637,CRM1637,ACC1637,Credit,24954,INR,2024-01-07 00:00:00,CRM
TXN5311,CRM1311,ACC1311,Refund,37179,INR,2025-05-31 00:00:00,CRM
TXN5384,CRM1384,ACC1384,Credit,26440,INR,2025-12-14 00:00:00,CRM
TXN5824,CRM1824,ACC1824,Order,34179,INR,2024-05-21 00:00:00,CRM
TXN5298,CRM1298,ACC1298,Invoice,37926,INR,2025-03-26 00:00:00,CRM
TXN5930,CRM1930,ACC1930,Refund,39555,INR,2024-05-26 00:00:00,CRM
TXN5769,CRM1769,ACC1769,Invoice,14841,INR,2026-03-19 00:00:00,CRM
TXN5457,CRM1457,ACC1457,Invoice,48696,INR,2026-02-16 00:00:00,CRM
TXN5197,CRM1197,ACC1197,Refund,37490,INR,2026-02-25 00:00:00,CRM
TXN5365,CRM1365,ACC1365,Refund,21332,INR,2025-10-27 00:00:00,CRM
TXN5129,CRM1129,ACC1129,Order,20343,INR,2024-07-22 00:00:00,CRM
TXN5559,CRM1559,ACC1559,Refund,12452,INR,2024-01-04 00:00:00,CRM
TXN5635,CRM1635,ACC1635,Invoice,6404,INR,2024-05-19 00:00:00,CRM
TXN5252,CRM1252,ACC1252,Credit,46370,INR,2025-12-25 00:00:00,CRM
TXN5078,CRM1078,ACC1078,Credit,14531,INR,2026-01-28 00:00:00,CRM
TXN5043,CRM1043,ACC1043,Invoice,5060,INR,2025-06-22 00:00:00,CRM
TXN5400,CRM1400,ACC1400,Credit,26379,INR,2024-07-31 00:00:00,CRM
TXN5648,CRM1648,ACC1648,Invoice,13581,INR,2024-02-14 00:00:00,CRM
TXN5609,CRM1609,ACC1609,Credit,26898,INR,2024-05-21 00:00:00,CRM
TXN5828,CRM1828,ACC1828,Invoice,40807,INR,2024-10-28 00:00:00,CRM
TXN5495,CRM1495,ACC1495,Order,2843,INR,2025-12-17 00:00:00,CRM
TXN5366,CRM1366,ACC1366,Order,13164,INR,2025-12-14 00:00:00,CRM
TXN5053,CRM1053,ACC1053,Refund,10995,INR,2024-07-27 00:00:00,CRM
TXN5571,CRM1571,ACC1571,Credit,18120,INR,2026-03-01 00:00:00,CRM
TXN5214,CRM1214,ACC1214,Credit,6885,INR,2026-01-14 00:00:00,CRM
TXN5947,CRM1947,ACC1947,Order,2465,INR,2025-06-30 00:00:00,CRM
TXN5712,CRM1712,ACC1712,Payment,37586,INR,2024-12-31 00:00:00,CRM
TXN5598,CRM1598,ACC1598,Order,37962,INR,2025-01-12 00:00:00,CRM
TXN5350,CRM1350,ACC1350,Payment,5340,INR,2024-08-07 00:00:00,CRM
TXN5280,CRM1280,ACC1280,Refund,35925,INR,2024-06-24 00:00:00,CRM
TXN5512,CRM1512,ACC1512,Credit,48691,INR,2025-01-30 00:00:00,CRM
TXN5370,CRM1370,ACC1370,Refund,49489,INR,2024-03-07 00:00:00,CRM
TXN5516,CRM1516,ACC1516,Credit,4492,INR,2024-11-09 00:00:00,CRM
TXN5151,CRM1151,ACC1151,Invoice,41327,INR,2026-02-03 00:00:00,CRM
TXN5447,CRM1447,ACC1447,Refund,32035,INR,2025-12-29 00:00:00,CRM
TXN5689,CRM1689,ACC1689,Refund,41124,INR,2024-12-09 00:00:00,CRM
TXN5186,CRM1186,ACC1186,Credit,4531,INR,2025-03-29 00:00:00,CRM
TXN5660,CRM1660,ACC1660,Payment,9118,INR,2025-09-01 00:00:00,CRM
TXN5600,CRM1600,ACC1600,Refund,24172,INR,2024-12-09 00:00:00,CRM
TXN5148,CRM1148,ACC1148,Order,29761,INR,2024-05-19 00:00:00,CRM
TXN5301,CRM1301,ACC1301,Order,2183,INR,2024-09-22 00:00:00,CRM
TXN5244,CRM1244,ACC1244,Payment,22148,INR,2025-10-03 00:00:00,CRM
TXN5286,CRM1286,ACC1286,Credit,37957,INR,2025-06-09 00:00:00,CRM
TXN5342,CRM1342,ACC1342,Credit,26722,INR,2025-06-29 00:00:00,CRM
TXN5703,CRM1703,ACC1703,Payment,46647,INR,2025-03-31 00:00:00,CRM
TXN5825,CRM1825,ACC1825,Invoice,47842,INR,2026-02-11 00:00:00,CRM
TXN5372,CRM1372,ACC1372,Payment,39464,INR,2025-07-05 00:00:00,CRM
TXN5256,CRM1256,ACC1256,Invoice,3271,INR,2024-09-18 00:00:00,CRM
TXN5232,CRM1232,ACC1232,Refund,2445,INR,2024-07-28 00:00:00,CRM
TXN5763,CRM1763,ACC1763,Payment,17218,INR,2024-05-13 00:00:00,CRM
TXN5543,CRM1543,ACC1543,Refund,47349,INR,2025-01-30 00:00:00,CRM
TXN5336,CRM1336,ACC1336,Order,25792,INR,2024-05-25 00:00:00,CRM
TXN5876,CRM1876,ACC1876,Payment,38590,INR,2024-10-20 00:00:00,CRM
TXN5599,CRM1599,ACC1599,Invoice,5273,INR,2026-03-13 00:00:00,CRM
TXN5050,CRM1050,ACC1050,Order,25217,INR,2026-01-26 00:00:00,CRM
TXN5085,CRM1085,ACC1085,Payment,46537,INR,2024-09-07 00:00:00,CRM
TXN5685,CRM1685,ACC1685,Credit,3608,INR,2024-12-04 00:00:00,CRM
TXN5418,CRM1418,ACC1418,Payment,32614,INR,2026-02-13 00:00:00,CRM
TXN5091,CRM1091,ACC1091,Refund,14843,INR,2024-06-14 00:00:00,CRM
TXN5234,CRM1234,ACC1234,Payment,13539,INR,2025-11-18 00:00:00,CRM
TXN5331,CRM1331,ACC1331,Payment,40595,INR,2025-03-15 00:00:00,CRM
TXN5928,CRM1928,ACC1928,Credit,20576,INR,2025-06-04 00:00:00,CRM
TXN5368,CRM1368,ACC1368,Credit,27788,INR,2025-02-15 00:00:00,CRM
TXN5145,CRM1145,ACC1145,Refund,26891,INR,2024-04-17 00:00:00,CRM
TXN5534,CRM1534,ACC1534,Credit,37006,INR,2024-08-05 00:00:00,CRM
TXN5659,CRM1659,ACC1659,Credit,14481,INR,2025-02-26 00:00:00,CRM
TXN5319,CRM1319,ACC1319,Order,23739,INR,2025-03-13 00:00:00,CRM
TXN5247,CRM1247,ACC1247,Refund,39068,INR,2025-05-12 00:00:00,CRM
TXN5508,CRM1508,ACC1508,Payment,16289,INR,2025-10-21 00:00:00,CRM
TXN5550,CRM1550,ACC1550,Order,39142,INR,2025-06-06 00:00:00,CRM
TXN5603,CRM1603,ACC1603,Payment,46772,INR,2024-04-02 00:00:00,CRM
TXN5696,CRM1696,ACC1696,Refund,41718,INR,2025-12-17 00:00:00,CRM
TXN5530,CRM1530,ACC1530,Credit,33265,INR,2024-01-31 00:00:00,CRM
TXN5357,CRM1357,ACC1357,Order,22895,INR,2024-07-10 00:00:00,CRM
TXN5077,CRM1077,ACC1077,Invoice,38291,INR,2025-08-03 00:00:00,CRM
TXN5641,CRM1641,ACC1641,Credit,24866,INR,2024-01-02 00:00:00,CRM
TXN5281,CRM1281,ACC1281,Order,6334,INR,2025-02-24 00:00:00,CRM
