account_id,account_name,industry,account_owner,account_group,company_code,plant_id,material_group,created_ts,source_system
SAPACC5583,Banerjee Pharmaceuticals Ltd,Manufacturing,Ramesh Verma,AG007,COMP007,PLANT07,MG07,2026-02-17,SAP
SAPACC5376,Reddy Retail Ltd,Healthcare,Deepak Malhotra,AG008,COMP008,PLANT08,MG08,2026-03-04,SAP
SAPACC5835,Iyer Foods Ltd,Financial Services,Kavita Tiwari,AG003,COMP003,PLANT03,MG03,2026-03-27,SAP
SAPACC5244,Kaur Enterprises Ltd,Manufacturing,Priya Srivastava,AG004,COMP004,PLANT04,MG04,2026-03-16,SAP
SAPACC5123,Mehta Textiles Ltd,Healthcare,Divya Kaur,AG003,COMP003,PLANT03,MG03,2026-03-16,SAP
SAPACC5375,Rao Services Ltd,Healthcare,Prakash Desai,AG007,COMP007,PLANT07,MG07,2026-03-29,SAP
SAPACC5180,Patil Industries Ltd,Manufacturing,Sunil Patil,AG004,COMP004,PLANT04,MG04,2026-03-14,SAP
SAPACC5930,Shah Services Ltd,Retail,Rajiv Reddy,AG002,COMP002,PLANT02,MG02,2026-02-28,SAP
SAPACC5426,Dubey Technologies Ltd,Transportation,Meera Pandey,AG002,COMP002,PLANT02,MG02,2026-01-16,SAP
SAPACC5410,Joshi Finance Ltd,Technology,Vinay Rao,AG002,COMP002,PLANT02,MG02,2026-01-01,SAP
SAPACC5115,Sharma Industries Ltd,Retail,Sunil Pandey,AG003,COMP003,PLANT03,MG03,2026-03-26,SAP
SAPACC5478,Malhotra Technologies Ltd,Financial Services,Vinod Verma,AG006,COMP006,PLANT06,MG06,2026-02-06,SAP
SAPACC5806,Srivastava Retail Ltd,Manufacturing,Ravi Shah,AG006,COMP006,PLANT06,MG06,2026-01-03,SAP
SAPACC5445,Malhotra Consulting Ltd,Technology,Manish Bajaj,AG005,COMP005,PLANT05,MG05,2026-03-19,SAP
SAPACC5889,Joshi Technologies Ltd,Technology,Ravi Yadav,AG001,COMP001,PLANT01,MG01,2026-01-20,SAP
SAPACC5278,Kumar Retail Ltd,Financial Services,Vikas Malhotra,AG006,COMP006,PLANT06,MG06,2026-03-22,SAP
SAPACC5302,Kumar Pharmaceuticals Ltd,Technology,Suresh Nair,AG006,COMP006,PLANT06,MG06,2026-03-08,SAP
SAPACC5320,Chopra Enterprises Ltd,Technology,Deepak Nair,AG008,COMP008,PLANT08,MG08,2026-02-07,SAP
SAPACC5262,Agarwal Enterprises Ltd,Financial Services,Rahul Pandey,AG006,COMP006,PLANT06,MG06,2026-01-19,SAP
SAPACC5352,Malhotra Technologies Ltd,Technology,Ajay Sharma,AG008,COMP008,PLANT08,MG08,2026-01-16,SAP
SAPACC5383,Menon Traders Ltd,Manufacturing,Ravi Iyer,AG007,COMP007,PLANT07,MG07,2026-02-13,SAP
SAPACC5125,Srivastava Technologies Ltd,Manufacturing,Sunil Guptha,AG005,COMP005,PLANT05,MG05,2026-02-26,SAP
SAPACC5854,Tiwari Healthcare Ltd,Retail,Rahul Iyer,AG006,COMP006,PLANT06,MG06,2026-01-16,SAP
SAPACC5424,Agarwal Foods Ltd,Technology,Meena Desai,AG008,COMP008,PLANT08,MG08,2026-02-08,SAP
SAPACC5892,Malhotra Technologies Ltd,Technology,Amit Chopra,AG004,COMP004,PLANT04,MG04,2026-03-13,SAP
SAPACC5793,Yadav Consulting Ltd,Financial Services,Sunil Mishra,AG001,COMP001,PLANT01,MG01,2026-02-08,SAP
SAPACC5440,Nair Finance Ltd,Technology,Sunita Agarwal,AG008,COMP008,PLANT08,MG08,2026-02-22,SAP
SAPACC5281,Bajaj Industries Ltd,Healthcare,Rekha Tiwari,AG001,COMP001,PLANT01,MG01,2026-03-10,SAP
SAPACC5361,Bajaj Textiles Ltd,Healthcare,Jane Tiwari,AG001,COMP001,PLANT01,MG01,2026-03-19,SAP
SAPACC5900,Gupta Finance Ltd,Healthcare,Divya Gupta,AG004,COMP004,PLANT04,MG04,2026-02-07,SAP
SAPACC5393,Mishra Foods Ltd,Manufacturing,Sneha Pandey,AG001,COMP001,PLANT01,MG01,2026-01-13,SAP
SAPACC5025,Joshi Technologies Ltd,Financial Services,Priya Gupta,AG001,COMP001,PLANT01,MG01,2026-03-14,SAP
SAPACC5394,Srivastava Technologies Ltd,Technology,Sunil Mehta,AG002,COMP002,PLANT02,MG02,2026-02-21,SAP
SAPACC5046,Bajaj Industries Ltd,Financial Services,Suresh Srivastava,AG006,COMP006,PLANT06,MG06,2026-01-02,SAP
SAPACC5364,Gupta Logistics Ltd,Transportation,Anita Chopra,AG004,COMP004,PLANT04,MG04,2026-02-20,SAP
SAPACC5221,Yadav Technologies Ltd,Retail,Rekha Mehta,AG005,COMP005,PLANT05,MG05,2026-02-08,SAP
SAPACC5678,Banerjee Foods Ltd,Manufacturing,Ramesh Mehta,AG006,COMP006,PLANT06,MG06,2026-01-12,SAP
SAPACC5193,Shah Foods Ltd,Retail,Shalini Mehta,AG001,COMP001,PLANT01,MG01,2026-01-12,SAP
SAPACC5501,Guptha Technologies Ltd,Financial Services,Meena Verma,AG005,COMP005,PLANT05,MG05,2026-01-12,SAP
SAPACC5447,Rao Solutions Ltd,Transportation,Arvind Nair,AG007,COMP007,PLANT07,MG07,2026-03-17,SAP
SAPACC5489,Banerjee Finance Ltd,Technology,Meera Verma,AG001,COMP001,PLANT01,MG01,2026-03-18,SAP
SAPACC5512,Patil Consulting Ltd,Financial Services,Prakash Bajaj,AG008,COMP008,PLANT08,MG08,2026-03-04,SAP
SAPACC5341,Guptha Traders Ltd,Healthcare,Meena Kaur,AG005,COMP005,PLANT05,MG05,2026-03-03,SAP
SAPACC5031,Guptha Logistics Ltd,Retail,Arjun Reddy,AG007,COMP007,PLANT07,MG07,2026-03-26,SAP
SAPACC5023,Pandey Logistics Ltd,Technology,Rajiv Sharma,AG007,COMP007,PLANT07,MG07,2026-02-05,SAP
SAPACC5081,Patil Retail Ltd,Financial Services,Rekha Gupta,AG001,COMP001,PLANT01,MG01,2026-01-16,SAP
SAPACC5126,Mishra Traders Ltd,Healthcare,Vinod Reddy,AG006,COMP006,PLANT06,MG06,2026-01-12,SAP
SAPACC5920,Kapoor Traders Ltd,Retail,Ajay Joshi,AG008,COMP008,PLANT08,MG08,2026-01-20,SAP
SAPACC5658,Guptha Logistics Ltd,Retail,Priya Shah,AG002,COMP002,PLANT02,MG02,2026-03-18,SAP
SAPACC5012,Mehta Services Ltd,Manufacturing,Vinod Sharma,AG004,COMP004,PLANT04,MG04,2026-01-08,SAP
SAPACC5852,Patil Enterprises Ltd,Financial Services,Vinay Banerjee,AG004,COMP004,PLANT04,MG04,2026-02-03,SAP
SAPACC5678,Banerjee Foods Ltd,Manufacturing,Ramesh Mehta,AG006,COMP006,PLANT06,MG06,2026-01-12,SAP
